Section,Subsection,Cause,Explanation,Illustration ,Effect,
S. 23,85,Act of a person incapable of judgment by reason of intoxication caused against his will,Intoxication without consent or knowledge,A person who is intoxicated without their knowledge or consent is not guilty of an offence if they cannot understand the nature of their actions due to the intoxication.,A person unknowingly consumes a substance that intoxicates them and commits an offence without understanding the consequences.,
S. 24,86,Offence requiring a particular intent or knowledge committed by one who is intoxicated,Intoxication during the commission of an offence requiring intent or knowledge,"A person who commits an offence requiring specific knowledge or intent while intoxicated will be treated as if they had the same knowledge or intent as if they were sober, unless the intoxication was involuntary.","A person commits a theft while intoxicated but is treated as if they had the intent to steal, as if they were sober, unless the intoxication was involuntary.",
S. 25,87,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent",Consent given for acts that do not intend or know to cause death or grievous harm,"An act not intended to cause death or grievous harm, and not known to likely cause such harm, is not an offence if the person consented to it.","A and Z agree to fence with each other, and Z gets hurt during the game. A is not guilty as Z consented to the risk of harm.",
S. 26,88,"Act not intended to cause death, done by consent in good faith for person’s benefit","Harm caused without intent to cause death, done for the person’s benefit with consent","A surgeon performing a high-risk operation for the benefit of a patient, with consent, and without intending death","Protects individuals from liability when performing acts in good faith for someone’s benefit, as long as death isn't intended.",
S. 27,89,"Act done in good faith for benefit of child or person with unsound mind, by or by consent of guardian",Harm caused to a child or mentally ill person in good faith for their benefit,"A parent authorizing a risky surgery on their child to cure a painful disease, not intending death","Protects actions performed by a guardian for the benefit of a child or mentally ill person, but not for harmful or life-threatening actions.",
S. 28,90,Consent known to be given under fear or misconception,"Consent given under fear or misconception, or by someone incapable of understanding",Consent given under fear or misunderstanding is not valid if the person acting knows or should have known,"Protects individuals from liability for actions taken based on invalid consent, such as from fear or misunderstanding.",
S. 29,91,Exclusion of acts which are offences independently of harm caused,Acts that are offences regardless of harm or consent,"Certain actions, like causing miscarriage, are offences on their own, even if consent is given","Clarifies that consent is not valid in cases where the act is inherently illegal, regardless of harm or intent.",
S. 30,92,Act done in good faith for benefit of a person without consent,"Harm caused to a person for their benefit, without their consent, in urgent circumstances",A surgeon performing an urgent operation on an unconscious patient to save their life,"Allows actions in good faith to be taken without consent when it is impossible to obtain consent in time, provided the act is not intentionally harmful.",
S. 31,93,Communication made in good faith,"Communication made for the benefit of a person, even if it causes harm","A surgeon informs a patient they cannot live, leading to shock and death","Protects individuals from liability for communications made in good faith for the benefit of the recipient, even if harm results.",
S. 32,94,Act compelled by threats,"Act done under threat of instant death, with no reasonable alternative","A person forced by dacoits to open a door for a robbery, under threat of death","Protects individuals from liability for acts done under extreme duress (death threat), provided they did not put themselves in the situation willingly.",
S. 33,95,Act causing slight harm,Harm caused is so minor that no reasonable person would complain,A minor scratch during a fight,Protects minor injuries that no reasonable person would consider offensive or worth legal action.,
S. 34,96,Things done in private defence,Act done while exercising the right to defend oneself or others,A person defending themselves from an attacker,Protects individuals from liability for acts done in self-defense or the defense of others.,
S. 35,97,Right of private defence of the body and property,Right to defend one’s body or property against certain offenses,A person defending their house from a robber or their body from an assault,"Recognizes the right to defend oneself, others, and property against theft, robbery, trespassing, etc., within certain limits.",
S. 36,98,"Right of private defence against the act of a person with unsound mind, etc.","Right to private defence against acts by individuals who are not criminally liable due to mental illness, intoxication, or misconception.","Z, under mental illness, attempts to kill A; A has the right of private defence even though Z is not guilty.","Extends the right of private defence even when the attacker is not criminally liable due to mental illness, intoxication, or misconception.",
S. 37,99,Acts against which there is no right of private defence,No right of private defence against certain acts by public servants or when there is time to seek help from authorities.,"A person is attacked by a public servant acting in good faith under the color of his office, and no private defence is allowed.",No right to private defence against acts that do not cause apprehension of death or grievous hurt by public servants or when authorities can be approached.,
S. 38,100,When the right of private defence of the body extends to causing death,"Right of private defence extends to causing death or any harm to the assailant in certain grave situations (e.g., assault with intent to rape or kidnap).",A person is assaulted with the intention of committing rape; the victim can defend themselves and cause death to the assailant.,Protects individuals from liability for causing death or harm to an assailant in specific dangerous situations.,
S. 39,101,When such right extends to causing any harm other than death,Right of private defence extends to causing harm (other than death) to the assailant in cases not covered in Section 38.,"A person is attacked but does not have to kill the assailant; instead, they may cause harm to defend themselves.",Allows individuals to cause harm (other than death) to an assailant in situations where the threat is serious but not life-threatening.,
S. 40,102,Commencement and continuance of the right of private defence of the body,Right of private defence starts when there is a reasonable apprehension of danger and continues as long as the threat persists.,"A person faces a threat of harm, and the right of private defence starts immediately and lasts as long as the danger continues.",Protects individuals from liability when defending themselves as long as the threat to their body continues.,
S. 41,103,When the right of private defence of property extends to causing death,"Right to private defence of property extends to causing death or harm if the property is threatened by certain serious crimes like robbery, house-breaking, mischief, or theft under certain circumstances.",A person is defending their property from a robbery and causes the death of the assailant.,Allows causing death or harm to protect property from serious offences like robbery or house-breaking.,
S. 42,104,When such right extends to causing any harm other than death,"Right of private defence of property extends to causing harm other than death for less severe offences such as theft, mischief, or criminal trespass.",A person defends their property from theft and harms the thief without causing death.,Protects property while allowing harm (other than death) to be inflicted for theft or mischief.,
S. 43,105,Commencement and continuance of the right of private defence of property,"Right of private defence of property begins when danger to the property is sensed and continues based on the nature of the crime (e.g., till theft is averted or until help from authorities arrives).","A person defends against a robbery, and the right continues as long as the assailant poses a threat.",Ensures the right to defend property continues during a threat and until the danger subsides or authorities intervene.,
S. 44,106,Right of private defence against deadly assault when there is risk of harm to innocent person,"If the defender risks harming innocent bystanders while defending against a deadly assault, they can still exercise their right of private defence.","A person fires on a mob attacking him, even if it risks harming innocent children in the crowd.",Protects individuals who must risk harm to innocents while defending against a serious threat.,
S. 45,107,Abetment of a thing,"A person abets an act by instigating, conspiring, or aiding it, either before or during the act.","B knowingly misrepresents facts to a public officer, leading to the wrongful apprehension of C.","Holds individuals accountable for instigating, aiding, or conspiring to commit a wrongful act.",
S. 46,108,Abettor,"A person abets an offence by instigating, conspiring, or aiding the commission of an act that would be an offence if committed by a legally capable person.","A instigates B to commit murder. B fails to do so, but A is still guilty of abetment.",Holds the abettor accountable even if the act is not committed or the effect of the offence does not occur.,
S. 47,108A,Abetment in India of offences outside India,A person who abets an offence in India but the act is committed outside India is guilty of abetment.,"A in India instigates B, a foreigner in country X, to commit murder.","A is guilty of abetting murder, even though it was committed abroad.",
S. 48,-,Abetment outside India for offence in India,"A person who abets an offence committed in India, even from outside the country, is guilty of abetment.","A, in country X, instigates B to commit a murder in India.","A is guilty of abetting a murder in India, despite being abroad.",
S. 49,109,Punishment for abetment when act is committed,"If the act abetted is committed as a result of the abetment, and there is no specific punishment for abetment, the abettor is punished the same as the person committing the offence.",A instigates B to give false evidence. B commits the offence. A is punished as if he had committed the offence himself.,Punishes the abettor similarly to the person who committed the offence.,
S. 50,110,Punishment if the abetted person acts with different intention,"If the person abetted commits the act with a different intention or knowledge than that of the abettor, the abettor is punished as if the act was done with their intention.","A abets B to steal, but B does so with an intent to cause harm. A is punished as if he had intended harm.",The abettor is punished as though the act was committed with their own intention or knowledge.,
S. 51,111,Liability when a different act is done,"When the act abetted is different from the one done, the abettor is liable for the act done if it was a probable consequence of the abetment and committed under the influence of the instigation, aid, or conspiracy.","A instigates a child to put poison into Z’s food, but the child mistakenly puts it into Y’s food. A is liable as if he had instigated the poisoning of Y.",Abettor is held liable for the actual act done if it is a probable consequence of their abetment.,
S. 52,112,Cumulative punishment for multiple offences,"If the act abetted results in multiple offences, the abettor is liable to punishment for each offence.",A instigates B to resist distress by force. B causes grievous hurt during the resistance. A is liable for both offences.,The abettor faces punishment for each distinct offence caused by the abetment.,
S. 53,113,Liability for unintended effects,"If the act abetted causes a different effect than intended by the abettor, but the abettor knew the effect was likely, he is liable for the unintended effect.","A instigates B to cause grievous hurt to Z. Z dies, and A is liable for murder if he knew death was likely.",Abettor is liable for the unintended effect if they knew it was a probable consequence.,
S. 54,114,Abettor’s presence when the offence is committed,"If the abettor is present when the offence occurs, they are deemed to have committed the act or offence.","A, who would normally be liable as an abettor, is present when B commits the offence, and A is treated as having committed the offence.",Presence of the abettor at the scene makes them liable for the offence committed.,
S. 55,115,Abetment of a capital offence,"If the abettor instigates an offence punishable by death or life imprisonment, but the offence is not committed, they can be punished with up to seven years of imprisonment and a fine. If hurt is caused due to the abetment, the punishment increases.","A instigates B to murder Z, but Z is not killed. A is liable to imprisonment up to seven years and a fine, and up to fourteen years if hurt is caused to Z.",The abettor faces significant punishment if the intended serious crime is not committed or results in harm.,
S. 56,116,Abetment of an offence punishable with imprisonment,"If the abetted offence is not committed, and no specific punishment is prescribed for abetment, the abettor is liable to imprisonment up to one-fourth of the longest term for the offence or a fine, or both. If the abettor is a public servant whose duty is to prevent the offence, the punishment increases to up to half of the longest term.",A instigates B to give false evidence. A is liable even if B does not give false evidence.,"Abettors are punished based on the offence's potential punishment, with increased liability for public servants.",
S. 57,117,Abetment of an offence by the public or more than ten persons,"If the abettor incites the public or more than ten persons to commit an offence, they are liable to imprisonment up to seven years and a fine.",A affixes a placard inciting more than ten people to attack a sect. A is liable for the abetment of violence.,"Abettors who incite large groups face serious punishment, including imprisonment and fines.",
S. 58,118,Concealing a design to commit an offence punishable with death or life imprisonment,"If the abettor conceals a design to commit an offence punishable with death or life imprisonment, they are liable to imprisonment for up to seven years if the offence is committed, or up to three years and a fine if not.","A falsely informs the Magistrate about a dacoity, misdirecting efforts and facilitating the crime. A is punished under this section.",Concealing a crime design that leads to an offence results in serious penalties.,
S. 59,119,Public servant concealing a design to commit an offence they must prevent,"If a public servant knowingly conceals the design of an offence they are duty-bound to prevent, they are liable to imprisonment, fine, or both. The penalty increases if the offence results in death or life imprisonment.","A police officer, knowing of a robbery plan, fails to report it. A is liable for the omission.",Public servants who neglect their duties to prevent crimes face harsh punishments.,
S. 60,120,Concealing a design to commit an offence punishable with imprisonment,"If the abettor conceals the design of an offence punishable with imprisonment, they are liable to imprisonment for a term up to one-fourth of the longest sentence, or one-eighth if the offence is not committed, with a fine or both.","A knowingly conceals a design to commit theft. If the theft occurs, A is punished accordingly.","Concealment of criminal intentions leads to significant legal consequences, even if the crime is not completed.",
S. 61,,Agreement to commit an illegal act or use illegal means,Criminal conspiracy occurs when two or more people agree to commit a crime or use illegal methods to perform a non-illegal act.,Two people agree to steal but are caught before the theft happens; they are liable for the conspiracy.,"Punishment is similar to abetting the offence (if the offence is punishable with death, life imprisonment, or >2 years); otherwise, up to 6 months imprisonment, fine, or both.",
S. 62,,Attempt to commit an offence punishable by imprisonment,"A person tries to commit a crime but doesn't fully complete it. If any act is done towards committing the crime, they are liable.",A person attempts to steal jewels but finds none in the box; the attempt still qualifies as a crime.,"Imprisonment for up to half the term of the original offence, or fine, or both.",
S. 63,375,Penetration or manipulation without consent,"Defines rape as sexual penetration or manipulation of any body part or object without the woman's consent or in specific circumstances (e.g., under duress, intoxication).","A man forces a woman to engage in sexual acts against her will, or in specific conditions like mental incapacity.",The act of rape is punishable under Section 376 with varying severity depending on circumstances.,
S. 64,376,"Rape committed by certain individuals (e.g., police officers, public servants)","Specifies that rape by individuals in positions of authority (e.g., police officers, public servants) is punished severely, especially if the victim is in custody.",A police officer rapes a woman in their custody; they are severely punished.,"Rigorous imprisonment for not less than 10 years, potentially life imprisonment, plus a fine.",
S. 64,Subsection 1,Rape on a woman under 16,"Punishment for raping a woman under 16 years is severe, with a minimum 20-year sentence or life imprisonment.",A person rapes a woman under 16 years.,"Imprisonment for not less than 20 years, up to life imprisonment, with fine for victim rehabilitation.",
S. 65,Subsection 2,Rape on a woman under 12,"Rape on a woman under 12 years is treated more severely, potentially resulting in the death penalty.",A person rapes a woman under 12 years.,"Imprisonment for life or death, plus a fine for the victim's medical expenses and rehabilitation.",
S. 66,376A,Inflicting injury causing death or persistent vegetative state during the commission of rape,"If a rape results in the woman's death or causes her to be in a persistent vegetative state, the offender is severely punished.","A man rapes a woman, and during the assault, she dies or is left in a persistent vegetative state.","Rigorous imprisonment for not less than 20 years, up to life imprisonment, or death.",
S. 67,376B,Sexual intercourse by a husband with his wife who is living separately without consent,"A husband who has sexual intercourse with his wife during separation, without her consent, faces legal consequences.","A husband forcibly has sex with his wife who is living separately, without her consent.",Imprisonment for 2-7 years and a fine.,
S. 68,376C,Abuse of position of authority or fiduciary relationship to induce sexual intercourse,"A person in authority, such as a public servant or hospital staff, induces sexual intercourse by exploiting their position of power.",A superintendent of a women’s institution induces a woman under his care to have sex with him.,Rigorous imprisonment for 5-10 years and a fine.,
S. 69,,Sexual intercourse by deceit or false promises,"A person who deceives a woman into having sexual intercourse under false pretenses, such as promises of marriage, is punished.","A man promises to marry a woman but deceives her, leading to sexual intercourse.",Imprisonment for up to 10 years and a fine.,
S. 70,Subsection 1,Rape by multiple persons acting in common intention,"When a woman is raped by multiple persons acting together, each person is equally liable for the crime.","A woman is raped by a group of men, and each of them is held responsible for the crime.","Rigorous imprisonment for not less than 20 years, up to life imprisonment, and a fine.",
S. 70,Subsection 2,Gang rape of a woman under 18 years,"If a woman under 18 is gang-raped, the punishment is life imprisonment or death, with additional penalties.",A group of men rapes a girl under 18.,"Life imprisonment for the remainder of the person’s natural life, or death, and a fine.",
S. 71,,"Conviction under sections 64, 65, 66, or 67 followed by a subsequent conviction","A repeat offender convicted of crimes under sections 64, 65, 66, or 67 faces a severe punishment.",A man previously convicted of rape (under sections 64-67) is convicted again for a similar offence.,Imprisonment for life (remainder of natural life) or death.,
S. 72,,Publishing or printing the identity of the victim of specific crimes,It is illegal to disclose the identity of victims involved in certain offences without authorization.,A newspaper publishes the identity of a rape victim without permission.,Imprisonment for up to 2 years and fine.,
S. 73,,Publishing matters relating to court proceedings without permission,It is an offence to publish any matter related to court proceedings without prior court approval.,A journalist publishes details about an ongoing court case regarding sexual assault without court consent.,Imprisonment for up to 2 years and fine.,
S. 74,,Assaulting or using force on a woman intending to outrage her modesty,An individual using force to outrage a woman’s modesty is punished under this section.,"A man grabs a woman’s arm and makes suggestive comments, intending to outraged her modesty.",Imprisonment for 1-5 years and fine.,
S. 75,Subsection 2,"Physical contact, request for sexual favours, or showing pornography","A man committing certain acts like physical advances, sexual requests, or showing pornography is guilty of sexual harassment.",A man makes unwelcome sexual comments or shows inappropriate material to a woman.,"Rigorous imprisonment up to 3 years, or fine, or both.",
S. 75,Subsection 3,Making sexually coloured remarks,A man making inappropriate sexual remarks is guilty of harassment.,A man makes lewd comments to a woman at work.,"Imprisonment for up to 1 year, or fine, or both.",
S. 76,,Assault or criminal force with the intent to disrobe a woman,Any act of assault or force to disrobe a woman or compel her to be naked is punishable.,A man forcibly tries to remove a woman’s clothing.,Imprisonment for 3-7 years and fine.,
S. 77,,Watching or capturing a woman's private act and disseminating it,"Watching, recording, or distributing private acts of a woman is punishable.",A man secretly films a woman in her private space and shares the footage.,Imprisonment for 1-3 years and fine (first conviction); 3-7 years and fine (subsequent convictions).,
S. 78,,"Repeatedly following, contacting, or monitoring a woman",A man who repeatedly contacts or follows a woman against her will is guilty of stalking.,A man repeatedly sends messages to a woman who has asked him to stop.,Imprisonment for up to 3 years and fine (first conviction); up to 5 years and fine (subsequent convictions).,
S. 79,,"Words, gestures, or acts intended to insult a woman's modesty",Any act or words intended to insult a woman’s modesty is punishable.,A man makes obscene gestures or comments to a woman in public.,Simple imprisonment for up to 3 years and fine.,
S. 80,,Death due to cruelty or harassment related to dowry demands,"If a woman dies due to burns or injuries within 7 years of marriage, caused by dowry harassment, it’s considered dowry death.",A woman is burned to death after being harassed for dowry.,Imprisonment for 7 years to life.,
S. 81,,Deceit causing a woman to believe she is lawfully married and cohabit with a man,"A man deceives a woman into believing they are married, causing her to live with him.","A man convinces a woman that they are married when they are not, and she lives with him.",Imprisonment for up to 10 years and fine.,
S. 82,82(1),Marrying while a spouse is alive and the marriage is void,A person remarries while their spouse is still alive and the marriage is void.,A person marries again while their first spouse is still alive.,Imprisonment for up to 7 years and fine.,
S. 82 ,82(2),Concealing the fact of a prior marriage while remarrying,"A person marries again, hiding the fact that they have a prior spouse.",A person remarries while hiding their previous marriage from the new spouse.,Imprisonment for up to 10 years and fine.,
S. 83,,Fraudulent marriage ceremony without lawful intent,A person goes through a marriage ceremony knowing they aren't lawfully married.,A man knowingly goes through a wedding ceremony without intending to marry lawfully.,Imprisonment for up to 7 years and fine.,
S. 84,,Enticing or taking away a married woman with intent for illicit intercourse,A person takes a married woman with the intent for illicit relations.,A man takes a married woman with the intent of having an affair with her.,"Imprisonment for up to 2 years, fine, or both.",
S. 85,,Cruelty by husband or his relatives toward the woman,A woman is subjected to cruelty by her husband or his relatives.,"A husband subjects his wife to cruelty, or his relatives do.",Imprisonment for up to 3 years and fine.,
S. 86,,"Definition of ""cruelty""","Cruelty includes willful conduct likely to drive a woman to suicide or harm, or harassment to meet unlawful demands for property.",A woman is forced to face threats or physical abuse that may lead to suicide or grave harm.,"No punishment specified, serves as the definition for cruelty under S. 85.",
S. 87,,Kidnapping or inducing a woman for forced marriage or illicit intercourse,A person kidnaps or induces a woman to marry against her will or be forced into illicit acts.,A woman is abducted to be married off against her will or forced into an illicit relationship.,Imprisonment for up to 10 years and fine.,
S. 88,,Causing a woman to miscarry without good faith for saving her life,"A person causes a miscarriage, except when done in good faith for saving the woman's life.",A person intentionally causes a woman to miscarry without a valid medical reason.,"Imprisonment for up to 3 years or fine, or both. If the woman is quick with child, up to 7 years and fine.",
S. 88,,Causing miscarriage without the woman's consent,A person causes a miscarriage without the woman’s consent.,A man forces a woman to miscarry without her consent.,Imprisonment for life or up to 10 years and fine.,
S. 89,,Same as S. 88,Same as S. 88,Same as above.,Imprisonment for life or up to 10 years and fine.,
S. 90,90(1),Causing death with intent to induce miscarriage,A person causes the death of a woman with child by intentionally causing a miscarriage.,A person induces a miscarriage that leads to the woman’s death.,Imprisonment for up to 10 years and fine.,
S. 90,90(2),Causing death without the woman's consent,A person causes a woman's death by miscarriage without her consent.,A woman’s death is caused by miscarriage induced without her consent.,Imprisonment for life or as per the punishment in 90(1).,
S. 91,,Act done to prevent the birth of a child alive or cause its death post-birth,A person performs an act with the intent to prevent a child from being born alive or to cause it to die after birth.,"A person performs an action that causes the death of a child either before or after birth, without a valid medical reason.","Imprisonment for up to 10 years, or fine, or both.",
S. 92,,Act causing death of quick unborn child,A person performs an act that would be considered culpable homicide and causes the death of an unborn child.,"A person causes an injury to a pregnant woman that leads to the death of her unborn child, even if the woman survives.",Imprisonment for up to 10 years and fine.,
S. 93,,Exposing or abandoning a child under 12 years,A parent or caregiver leaves a child under 12 years with the intent to abandon them.,A parent leaves a child in a public place with no intention of returning.,"Imprisonment for up to 7 years, or fine, or both.",
S. 94,,Concealing the birth of a child by disposing of the body,A person secretly disposes of the body of a child to conceal the birth.,A mother secretly buries or disposes of the body of her dead newborn child.,"Imprisonment for up to 2 years, or fine, or both.",
S. 95,,Hiring or engaging a child to commit an offence,A person hires or employs a child to commit any criminal act.,A person engages a child for illegal activities like prostitution or theft.,"Imprisonment for 3 to 10 years, and fine; if the offence is committed, additional punishment as specified.",
S. 96,,Inducing a child for illicit intercourse,A person induces a child under 18 to commit acts leading to illicit intercourse.,A person tricks or forces a child to go with someone for prostitution.,Imprisonment for up to 10 years and fine.,
S. 97,,Kidnapping a child under 10 to steal property,A person kidnaps a child under 10 to steal movable property from them.,A person abducts a child with the intent to steal their belongings.,Imprisonment for up to 7 years and fine.,
S. 98,,Selling or disposing of a child for prostitution,A person sells a child with the intent to use them for prostitution or illicit intercourse.,A person sells a child to a brothel or for sexual exploitation.,Imprisonment for up to 10 years and fine.,
S. 99,,Buying a child for prostitution,A person buys a child for the purpose of using them for prostitution or illicit acts.,A person purchases a child for the purpose of exploiting them in a brothel.,Imprisonment for 7 to 14 years and fine.,
S. 100,,Causing death with intention or knowledge,A person causes death with the intention or knowledge that the act will likely cause death.,"A person sets a trap intending to kill someone, and the victim dies.",Imprisonment for life or as per the severity of the offence.,
S. 101,300,Culpable homicide with intent or knowledge of death,"Actions with intent to kill or inflict injury likely to cause death, or an act that is imminently dangerous and likely to cause death.",A person shoots someone intending to kill them.,"The act leads to murder, but exceptions like provocation or self-defense may apply.",
